episode,round,investment,repay_prop,repayment,tripled_amount,investor_gain,trustee_gain
15,3,0.0,0.0,0.0,0.0,20.0,0.0
15,4,5.0,0.0,0.0,15.0,15.0,15.0
15,5,0.0,0.0,0.0,0.0,20.0,0.0
15,6,5.0,0.0,0.0,15.0,15.0,15.0
15,7,10.0,0.0,0.0,30.0,10.0,30.0
15,8,0.0,0.0,0.0,0.0,20.0,0.0
15,9,5.0,0.0,0.0,15.0,15.0,15.0
15,10,0.0,0.0,0.0,0.0,20.0,0.0
16,1,5.0,0.0,0.0,15.0,15.0,15.0
16,2,10.0,0.0,0.0,30.0,10.0,30.0
16,3,15.0,0.0,0.0,45.0,5.0,45.0
16,4,20.0,0.0,0.0,60.0,0.0,60.0
16,5,20.0,0.0,0.0,60.0,0.0,60.0
16,6,10.0,0.0,0.0,30.0,10.0,30.0
16,7,5.0,0.0,0.0,15.0,15.0,15.0
16,8,15.0,0.0,0.0,45.0,5.0,45.0
16,9,20.0,0.0,0.0,60.0,0.0,60.0
16,10,20.0,0.0,0.0,60.0,0.0,60.0
17,1,5.0,0.0,0.0,15.0,15.0,15.0
17,2,20.0,0.0,0.0,60.0,0.0,60.0
17,3,10.0,0.0,0.0,30.0,10.0,30.0
17,4,5.0,0.0,0.0,15.0,15.0,15.0
17,5,15.0,0.0,0.0,45.0,5.0,45.0
17,6,15.0,0.0,0.0,45.0,5.0,45.0
17,7,20.0,0.0,0.0,60.0,0.0,60.0
17,8,20.0,0.0,0.0,60.0,0.0,60.0
17,9,20.0,0.0,0.0,60.0,0.0,60.0
17,10,20.0,0.0,0.0,60.0,0.0,60.0
18,1,20.0,0.0,0.0,60.0,0.0,60.0
18,2,10.0,0.0,0.0,30.0,10.0,30.0
18,3,5.0,0.0,0.0,15.0,15.0,15.0
18,4,15.0,0.0,0.0,45.0,5.0,45.0
18,5,15.0,0.5,22.5,45.0,27.5,22.5
18,6,10.0,0.0,0.0,30.0,10.0,30.0
18,7,10.0,1.0,30.0,30.0,40.0,0.0
18,8,20.0,0.0,0.0,60.0,0.0,60.0
18,9,15.0,0.0,0.0,45.0,5.0,45.0
18,10,15.0,0.0,0.0,45.0,5.0,45.0
19,1,5.0,0.0,0.0,15.0,15.0,15.0
19,2,15.0,0.0,0.0,45.0,5.0,45.0
19,3,15.0,0.0,0.0,45.0,5.0,45.0
19,4,5.0,0.0,0.0,15.0,15.0,15.0
19,5,20.0,0.0,0.0,60.0,0.0,60.0
19,6,10.0,0.0,0.0,30.0,10.0,30.0
19,7,0.0,0.0,0.0,0.0,20.0,0.0
19,8,10.0,0.5,15.0,30.0,25.0,15.0
19,9,20.0,0.0,0.0,60.0,0.0,60.0
19,10,20.0,0.0,0.0,60.0,0.0,60.0
20,1,5.0,0.0,0.0,15.0,15.0,15.0
20,2,5.0,0.5,7.5,15.0,22.5,7.5
20,3,15.0,0.0,0.0,45.0,5.0,45.0
20,4,5.0,0.25,3.75,15.0,18.75,11.25
20,5,10.0,0.0,0.0,30.0,10.0,30.0
20,6,10.0,0.0,0.0,30.0,10.0,30.0
20,7,20.0,0.0,0.0,60.0,0.0,60.0
20,8,5.0,0.0,0.0,15.0,15.0,15.0
20,9,10.0,0.0,0.0,30.0,10.0,30.0
20,10,20.0,0.0,0.0,60.0,0.0,60.0
21,1,5.0,0.25,3.75,15.0,18.75,11.25
21,2,10.0,0.25,7.5,30.0,17.5,22.5
21,3,0.0,0.0,0.0,0.0,20.0,0.0
21,4,5.0,0.0,0.0,15.0,15.0,15.0
21,5,0.0,0.0,0.0,0.0,20.0,0.0
21,6,0.0,0.0,0.0,0.0,20.0,0.0
21,7,0.0,0.0,0.0,0.0,20.0,0.0
21,8,0.0,0.0,0.0,0.0,20.0,0.0
21,9,0.0,0.0,0.0,0.0,20.0,0.0
21,10,0.0,0.0,0.0,0.0,20.0,0.0
